type,start_year,end_year,title,subtitle,description,details,tags
milestone,2016,present,Solution Architect & Project Manager,ATG/Cognizant – Missoula Montana,"Billing system configuration, integration, and migration for upstream and downstream systems.","<br>• GoTransverse, BillingPlatform, and Salesforce Revenue Management certified<br>• Configured simple to complex billing and revenue models including usage, one-time, and subscription<br>• Designed and configured upstream order and account migration/API integrations handling 100k+ account volumes<br>• Led scrum ceremonies including daily standups, sprint planning, and retrospectives<br>• Communicated effectively across client stakeholders, technical resources, and project managers",Solution Architecture|Project Management|Billing|API Integration|Scrum|GoTransverse|Salesforce
milestone,2014,2016,Engineer & Project Manager,Evolution Composites – Sidney Montana,"Certified by the Montana Board of Professional Engineers and Professional Land Surveyors.","<br>• Supervised field operations and managed company equipment<br>• Applied industrial engineering principles to composite manufacturing processes<br>• Bridged technical engineering with hands-on project management",Engineering|Project Management|Field Operations|Certified PE
milestone,2012,2014,7th Grade Math Teacher & Varsity Basketball Coach,Sidney Public Schools – Sidney Montana,"Students demonstrated measurable growth in algebraic reasoning, problem solving, and modeling.","<br>• Intentionally designed lessons to leverage effective methods for growing student content knowledge and engagement<br>• Created an environment that provoked higher-level thinking and conversation<br>• Varsity Head Coach, girls basketball — established a positive, competitive culture<br>• Freshman Defensive Coordinator, football — motivated and held players accountable",Teaching|Coaching|Mathematics|Curriculum Design|Leadership
milestone,2012,2012,Math Teacher & Freshman Basketball Coach,Missoula County Public Schools – Missoula Montana,"Mathematics instruction and basketball coaching.","<br>• Taught secondary mathematics<br>• Coached freshman basketball",Teaching|Coaching|Mathematics
milestone,2010,2012,M.A. Curriculum and Instruction,University of Montana – Missoula Montana,"Integrated ideas and cooperative endeavors into results-driven action plans.","<br>• Discovered the most effective methods to position learners for academic success<br>• Developed a deep respect for lifelong learning and continuous improvement<br>• Served as basketball coach during summers 2011–2013",Education|Curriculum Design|Research|Coaching
milestone,2007,2009,B.S. Industrial Engineering,Montana State University – Bozeman Montana,"Optimization of processes through model application, problem solving, and human variables.","<br>• Utilized industrial and management system tools and knowledge across a variety of contexts<br>• Developed ethical leadership grounded in science, mathematics, and engineering<br>• Coached basketball for Bozeman Public Schools, 2008–2009",Education|Industrial Engineering|Process Optimization|Leadership
milestone,2005,2007,Engineering Studies & Basketball,South Dakota School of Mines and Technology – Rapid City South Dakota,"Balanced rigorous engineering coursework with collegiate athletics.","<br>• Played collegiate basketball while maintaining academic standing<br>• Developed strong time management and the ability to handle ambiguity and context shifting",Education|Engineering|Athletics|Time Management
detail,2025,,Billing Solution Architect – Financial Services,Major Financial Services Provider,"Collaborated on and delivered complex workflows to drive appropriate business logic.","<br>• Designed and wrote SQL-based advanced reporting<br>• Designed and enhanced dynamic statement documents<br>• Delivered training to successfully hand off to customer success teams<br>• Handled errors quickly and independently",Solution Architecture|SQL|Reporting|Billing|Training|Financial Services
detail,2024,,BillingPlatform Accounting Pro Certification,BillingPlatform Academy,"Partner Accounting Pro Module 5: Contract Modifications — July 2024","Verified certification in contract modifications and advanced accounting configurations. <a href='https://verify.skilljar.com/c/qaq9cvr8q7r4' target='_blank' style='color:#2c3e6b; border-bottom: 1px solid #2c3e6b40;'>Verify Certificate &rarr;</a>",Certification|BillingPlatform|Accounting
detail,2024,,BillingPlatform Partner Pro Certification,BillingPlatform Academy,"Partner Pro Module 5: End-to-End Billing with Complex Formula Products — January 2024","Verified certification in complex formula product billing configurations. <a href='https://verify.skilljar.com/c/y59hxuzfsuqq' target='_blank' style='color:#2c3e6b; border-bottom: 1px solid #2c3e6b40;'>Verify Certificate &rarr;</a>",Certification|BillingPlatform|Complex Billing
detail,2023,,Billing Solution Architect – Fiber Internet,National Fiber Internet Provider,"Led integration design for account, order, and payment creation.","<br>• Led integration design for change orders, add-ons, deactivations, and dunning<br>• Built and maintained a trusting relationship with the client<br>• Mentored new resources with knowledge sharing on the GoTransverse platform and best practices",Solution Architecture|Integration Design|API|GoTransverse|Mentorship|Telecom
detail,2021,,Billing Solution Architect – Transportation,Major Transportation Company,"Developed custom reports to increase business intelligence across the organization.","<br>• Aided in the development of custom invoice templates for personalized invoice display<br>• Configured the product catalog to fit the client's subscription model for accurate invoicing",Solution Architecture|Reporting|Invoice Design|Product Catalog|Transportation
detail,2020,,Billing Solution Architect – Retail,National Retail Company,"Configured custom reports and custom invoice display.","<br>• Drove Oracle ERP integration to ensure accounting transactions properly flowed from GoTransverse to Oracle<br>• Completed the design and execution of a historic data migration from various manual spreadsheets",Solution Architecture|Oracle ERP|Data Migration|Reporting|Retail
detail,2018,,Billing Implementation Consultant – Financial Services,Financial Services Firm,"Implemented custom reporting and invoice display.","<br>• Created API playbooks to support integration from home-built account and order processes to GoTransverse<br>• Assisted in the development of mediation scripts and configuration for accurate usage processing",Implementation|API|Mediation|Reporting|GoTransverse|Financial Services
detail,2017,,Billing Implementation Consultant – Telecommunications,Major Telecommunications Provider,"Configured complex usage rating to meet invoice scenarios with highly customizable rating schedules.","<br>• Developed custom tax tables for local, federal, and international taxation to ensure accuracy<br>• Collaborated and communicated effectively with QA and other implementation roles<br>• Mentored new resources with knowledge sharing on the GoTransverse platform and best practices",Implementation|Usage Rating|Taxation|QA|GoTransverse|Mentorship|Telecom
detail,2016,,Quality Assurance Specialist – Financial Services,ATG/Cognizant,"Tested current and future state CRM, CPQ, Billing, and FMS platforms along with middleware systems.","<br>• Developed deep cross-platform knowledge of complex billing and financial management ecosystems<br>• Built foundational understanding of the full quote-to-cash lifecycle that directly informed transition to Solution Architecture<br>• Rapidly learned new technologies and domain-specific terminology across enterprise implementations",QA|CRM|CPQ|Billing|FMS|Middleware|Testing
detail,2012,,Secondary Math Teaching License,Montana Office of Public Instruction,"Secondary Math Teaching certification — Issued May 2012.","Certified to teach secondary mathematics in Montana public schools. Issued May 2012. Expired May 2022.",Certification|Teaching|Mathematics
detail,2009,,Engineering Intern (EI/FE),Montana Department of Labor and Industry,"Engineering Intern certified by the Montana Department of Labor and Industry.","Certified Engineering Intern following completion of the Industrial Engineering degree at Montana State University.",Certification|Engineering|FE Exam
